producto_id,categoria,marca,temporada,talla,color,precio_original,porcentaje_descuento,precio_actual,fecha_compra,cantidad_stock,calificacion_cliente,devolucion,motivo_devolucion
FB000001,Ropa de abrigo,Zara,Primavera,XL,Red,196.01,0.0,196.01,2025-07-05,37,3.0,No,
FB000002,Tops,Uniqlo,Invierno,L,Pink,119.64,0.0,119.64,2025-08-06,2,2.5,No,
FB000003,Accesorios,Uniqlo,Invierno,,Black,33.8,0.0,33.8,2025-08-06,22,4.3,No,
FB000004,Zapatos,Uniqlo,Primavera,XL,Black,75.36,0.0,75.36,2025-07-07,48,2.6,No,
FB000005,Tops,Banana Republic,Invierno,XL,Black,105.02,0.0,105.02,2025-08-06,10,,No,
FB000006,Accesorios,Zara,Otoño,,White,35.03,35.4,22.63,2025-08-06,38,2.9,Si,Discrepancia de color
FB000007,Pantalones,Zara,Primavera,S,Gray,53.83,54.5,24.49,2024-10-29,38,2.6,No,
FB000008,Vestidos,Mango,Invierno,XL,Blue,91.55,22.1,71.32,2025-08-06,47,1.6,No,
FB000009,Ropa de abrigo,Uniqlo,Primavera,XL,Green,227.73,12.8,198.58,2025-03-24,14,,No,
FB000010,Ropa de abrigo,H&M,Otoño,XXL,Pink,248.41,10.9,221.33,2025-08-06,37,,No,
FB000011,Tops,Mango,Primavera,L,Black,116.84,0.0,116.84,2025-04-25,3,4.4,No,
FB000012,Zapatos,Uniqlo,Invierno,S,Blue,146.98,0.0,146.98,2025-08-06,2,3.4,No,
FB000013,Pantalones,Ann Taylor,Primavera,S,White,37.51,0.0,37.51,2025-01-04,43,,No,
FB000014,Vestidos,Uniqlo,Otoño,XS,Beige,48.15,0.0,48.15,2025-08-06,39,1.6,No,
FB000015,Tops,Mango,Invierno,M,Beige,79.66,0.0,79.66,2025-08-06,7,1.7,No,
FB000016,Accesorios,Mango,Invierno,,Green,67.57,0.0,67.57,2025-08-06,17,2.4,No,
FB000017,Zapatos,Gap,Verano,S,Beige,123.53,0.0,123.53,2025-08-06,14,4.6,No,
FB000018,Tops,Ann Taylor,Invierno,L,Navy,102.35,0.0,102.35,2025-08-06,14,3.5,No,
FB000019,Ropa de abrigo,Mango,Verano,M,Purple,137.95,58.5,57.25,2025-08-06,16,4.1,No,
FB000020,Ropa de abrigo,Banana Republic,Verano,XXL,Gray,142.59,0.0,142.59,2025-08-06,1,3.7,No,
FB000021,Pantalones,Mango,Otoño,L,Beige,33.33,21.8,26.06,2025-08-06,42,,No,
FB000022,Accesorios,Zara,Primavera,,Brown,62.3,0.0,62.3,2024-09-24,10,2.5,No,
FB000023,Accesorios,Zara,Invierno,,Pink,38.48,0.0,38.48,2025-08-06,46,1.2,No,
FB000024,Vestidos,Banana Republic,Verano,XL,Green,91.36,0.0,91.36,2025-08-06,37,1.2,Si,Problema de tamaño
FB000025,Tops,Forever21,Otoño,XS,Blue,80.47,29.1,57.05,2025-08-06,38,3.6,No,
FB000026,Pantalones,Uniqlo,Primavera,M,Red,40.89,34.0,26.99,2025-06-11,16,3.7,No,
FB000027,Pantalones,Banana Republic,Verano,L,Red,47.04,36.0,30.11,2025-08-06,25,1.1,Si,Dañado
FB000028,Pantalones,Gap,Verano,M,Blue,53.37,0.0,53.37,2025-08-06,28,3.8,No,
FB000029,Vestidos,Ann Taylor,Verano,L,White,114.35,0.0,114.35,2025-08-06,6,1.2,No,
FB000030,Zapatos,Gap,Primavera,XL,Red,77.63,0.0,77.63,2024-10-24,1,,No,
FB000031,Zapatos,Uniqlo,Verano,S,Red,71.29,0.0,71.29,2025-08-06,37,4.1,Si,Problema de calidad
FB000032,Tops,Gap,Primavera,L,Purple,37.43,24.4,28.3,2025-04-16,5,,No,
FB000033,Zapatos,Zara,Primavera,XL,Purple,143.78,0.0,143.78,2024-10-16,43,1.1,No,
FB000034,Tops,Banana Republic,Verano,XL,Gray,88.23,0.0,88.23,2025-08-06,44,1.6,No,
FB000035,Accesorios,Forever21,Otoño,,Navy,58.57,0.0,58.57,2025-08-06,38,1.5,No,
FB000036,Tops,Uniqlo,Invierno,XXL,White,119.7,5.7,112.88,2025-08-06,37,4.9,No,
FB000037,Pantalones,Banana Republic,Otoño,XXL,Green,97.06,47.8,50.67,2025-08-06,31,4.1,No,
FB000038,Vestidos,Banana Republic,Verano,L,White,110.09,0.0,110.09,2025-08-06,32,3.4,No,
FB000039,Zapatos,Zara,Invierno,XS,Green,198.42,14.2,170.24,2025-08-06,10,,No,
FB000040,Pantalones,Banana Republic,Invierno,,Purple,101.72,0.0,101.72,2025-08-06,40,,No,
FB000041,Tops,Uniqlo,Verano,S,White,117.86,0.0,117.86,2025-08-06,6,,No,
FB000042,Tops,Ann Taylor,Verano,M,Green,78.86,0.0,78.86,2025-08-06,22,4.3,No,
FB000043,Ropa de abrigo,Zara,Invierno,XS,Navy,216.16,51.4,105.05,2025-08-06,36,4.0,No,
FB000044,Zapatos,Zara,Primavera,XL,Pink,129.85,0.0,129.85,2025-04-25,36,3.3,No,
FB000045,Tops,Banana Republic,Invierno,XXL,Green,111.3,0.0,111.3,2025-08-06,11,1.7,No,
FB000046,Vestidos,Uniqlo,Verano,XL,Brown,73.65,0.0,73.65,2025-08-06,33,3.6,No,
FB000047,Zapatos,Mango,Verano,L,Pink,147.13,30.3,102.55,2025-08-06,13,4.4,No,
FB000048,Accesorios,Ann Taylor,Invierno,,Green,44.6,53.9,20.56,2025-08-06,42,2.4,No,
FB000049,Pantalones,Forever21,Verano,XL,White,101.8,0.0,101.8,2025-08-06,7,2.8,No,
FB000050,Accesorios,Banana Republic,Verano,,Brown,16.52,55.9,7.29,2025-08-06,43,,No,
FB000051,Pantalones,H&M,Otoño,M,Beige,50.91,0.0,50.91,2025-08-06,3,1.8,No,
FB000052,Ropa de abrigo,Forever21,Primavera,S,White,222.26,0.0,222.26,2025-05-03,50,4.5,No,
FB000053,Zapatos,Gap,Verano,S,Navy,104.14,57.1,44.68,2025-08-06,14,1.8,No,
FB000054,Ropa de abrigo,Zara,Primavera,S,White,166.76,0.0,166.76,2025-06-12,21,4.2,No,
FB000055,Accesorios,Banana Republic,Otoño,,Black,44.13,50.9,21.67,2025-08-06,21,3.0,No,
FB000056,Ropa de abrigo,Gap,Verano,S,Green,121.29,15.2,102.85,2025-08-06,42,,No,
FB000057,Tops,H&M,Primavera,S,Beige,73.71,0.0,73.71,2025-07-10,35,3.9,Si,Problema de calidad
FB000058,Pantalones,Zara,Primavera,XL,Brown,84.07,26.3,61.96,2024-10-25,19,2.3,Si,Problema de tamaño
FB000059,Tops,Mango,Verano,XS,Black,28.59,0.0,28.59,2025-08-06,39,1.4,No,
FB000060,Zapatos,Mango,Invierno,XXL,Blue,166.49,2.6,162.16,2025-08-06,27,,No,
FB000061,Zapatos,Ann Taylor,Verano,M,White,145.95,6.6,136.32,2025-08-06,15,4.0,No,
FB000062,Ropa de abrigo,Gap,Otoño,M,Purple,218.42,0.0,218.42,2025-08-06,33,4.4,Si,Cambio de opinión
FB000063,Accesorios,Forever21,Invierno,,White,46.17,1.1,45.66,2025-08-06,30,1.9,No,
FB000064,Zapatos,H&M,Verano,,Green,106.18,18.0,87.07,2025-08-06,11,4.5,No,
FB000065,Tops,Zara,Invierno,XS,Gray,93.33,2.4,91.09,2025-08-06,20,4.2,No,
FB000066,Pantalones,Mango,Primavera,XS,White,86.54,21.7,67.76,2025-06-01,21,3.6,Si,Cambio de opinión
FB000067,Accesorios,Ann Taylor,Verano,,Green,55.57,0.0,55.57,2025-08-06,44,3.8,No,
FB000068,Tops,Forever21,Primavera,XL,Black,76.5,0.0,76.5,2025-01-26,17,4.6,No,
FB000069,Vestidos,Forever21,Primavera,XS,Green,137.19,9.5,124.16,2025-04-01,17,,No,
FB000070,Tops,Zara,Verano,XL,Purple,48.92,19.8,39.23,2025-08-06,17,2.6,No,
FB000071,Zapatos,Ann Taylor,Invierno,XL,White,69.82,0.0,69.82,2025-08-06,46,,Si,Artículo incorrecto
FB000072,Ropa de abrigo,Mango,Verano,XXL,Red,199.39,7.4,184.64,2025-08-06,49,,No,
FB000073,Ropa de abrigo,Banana Republic,Verano,M,White,222.09,55.2,99.5,2025-08-06,21,4.5,No,
FB000074,Tops,Mango,Otoño,XS,Red,112.86,0.0,112.86,2025-08-06,8,2.9,No,
FB000075,Vestidos,Mango,Primavera,XS,Green,100.96,0.0,100.96,2025-05-10,32,3.3,No,
FB000076,Ropa de abrigo,Gap,Primavera,XL,Green,243.56,48.0,126.65,2024-10-14,22,4.4,Si,Cambio de opinión
FB000077,Vestidos,Mango,Primavera,XXL,Red,153.32,0.0,153.32,2024-09-13,43,2.9,No,
FB000078,Accesorios,Uniqlo,Otoño,,Purple,42.95,22.5,33.29,2025-08-06,7,1.9,Si,Problema de tamaño
FB000079,Tops,H&M,Verano,S,Green,30.79,0.0,30.79,2025-08-06,36,3.4,No,
FB000080,Accesorios,Uniqlo,Otoño,,Brown,59.85,0.0,59.85,2025-08-06,38,4.0,No,
FB000081,Tops,Banana Republic,Primavera,S,Navy,78.16,19.1,63.23,2025-07-25,23,,No,
